chr	start_gene	end_gene	strand_gene	gene_name	ensembl_id	gene_type
chr19	3750772	3761692	-	APBA3	ENSG00000011132	protein_coding
chrY	11340579	11385687	-	SLC9B1P1	ENSG00000183704	unprocessed_pseudogene
chr1	177700524	177712275	+	LINC01741	ENSG00000236720	lncRNA
chr8	98957568	99013743	-	VPS13B-DT	ENSG00000253948	lncRNA
chr16	23962951	23963351	+	ENSG00000279276	ENSG00000279276	TEC
chr1	228458103	228463104	+	H2BC26	ENSG00000196890	protein_coding
chr5	112160526	112164818	+	EPB41L4A-AS1	ENSG00000224032	lncRNA
chr3	100334739	100361635	+	NIT2	ENSG00000114021	protein_coding
chr12	124593181	124593691	-	ENSG00000280097	ENSG00000280097	TEC
chr5	25425412	25425599	-	ENSG00000279531	ENSG00000279531	TEC
chr22	30008742	30080480	-	HORMAD2-AS1	ENSG00000227117	lncRNA
chr2	155314066	155314368	+	MTCYBP9	ENSG00000229935	processed_pseudogene
chr14	51724103	51724209	+	RNU6-301P	ENSG00000207004	snRNA
chr1	171755803	171756323	-	ENSG00000271459	ENSG00000271459	processed_pseudogene
chr8	124936328	124943765	-	ENSG00000255313	ENSG00000255313	lncRNA
chr9	659986	660326	+	EIF1P1	ENSG00000229875	processed_pseudogene
chr5	131261321	131261607	-	ENSG00000279370	ENSG00000279370	TEC
chr8	144466043	144474202	+	KIFC2	ENSG00000167702	protein_coding
chr17	40803744	40809296	+	ENSG00000264488	ENSG00000264488	lncRNA
chr18	2621090	2621201	+	Y_RNA	ENSG00000202224	misc_RNA
chr18	9615264	9619363	+	PPP4R1-AS1	ENSG00000263627	lncRNA
chr3	59535863	59536415	+	SNRPB2P1	ENSG00000241804	processed_pseudogene
chr22	16921443	16922173	-	IGKV2OR22-3	ENSG00000253460	IG_V_pseudogene
chr12	16567411	16573940	+	ENSG00000256564	ENSG00000256564	lncRNA
chr3	128619969	128681075	-	RPN1	ENSG00000163902	protein_coding
chr5	132817248	132818000	-	ENSG00000272203	ENSG00000272203	lncRNA
chr12	93460725	93460826	-	Y_RNA	ENSG00000200011	misc_RNA
chr19	49151198	49155396	-	HRC	ENSG00000130528	protein_coding
chr11	133783671	133810376	-	LINC02743	ENSG00000255258	lncRNA
chr2	148875227	149026759	+	KIF5C	ENSG00000168280	protein_coding
chr20	56392371	56406362	+	CSTF1	ENSG00000101138	protein_coding
chr1	67541127	67541233	+	RNU6-1031P	ENSG00000207504	snRNA
chr12	77723756	77725645	+	ENSG00000289040	ENSG00000289040	lncRNA
chr5	100388853	100389938	+	ENSG00000273957	ENSG00000273957	unprocessed_pseudogene
chr14	96663791	96681827	+	ENSG00000287350	ENSG00000287350	lncRNA
chr2	80699388	80870190	-	ENSG00000230975	ENSG00000230975	lncRNA
chr10	3748966	3763712	+	ENSG00000229672	ENSG00000229672	lncRNA
chr14	104815449	104815753	-	ENSG00000279140	ENSG00000279140	TEC
chr12	14773439	14774186	-	ENSG00000289909	ENSG00000289909	lncRNA
chr6	34686602	34687106	+	ENSG00000220643	ENSG00000220643	processed_pseudogene
chr10	13991815	14007526	+	ENSG00000229751	ENSG00000229751	lncRNA
chr1	203954640	203955780	+	CBX1P3	ENSG00000237379	processed_pseudogene
chr12	95972662	95996365	-	HAL	ENSG00000084110	protein_coding
chr1	155063748	155086807	+	EFNA4-EFNA3	ENSG00000251246	protein_coding
chr1	27819983	27820341	+	ENSG00000270031	ENSG00000270031	lncRNA
chr1	9652610	9654586	-	PIK3CD-AS1	ENSG00000179840	lncRNA
chr16	35485766	35486225	-	RARRES2P10	ENSG00000260153	processed_pseudogene
chr4	119367562	119367646	+	RNU4-33P	ENSG00000201186	snRNA
chr18	59267035	59274086	-	RAX	ENSG00000134438	protein_coding
chr5	141390157	141512975	+	PCDHGA8	ENSG00000253767	protein_coding
chrY	23919905	23921510	+	USP9YP13	ENSG00000224571	unprocessed_pseudogene
chr5	119006347	119070902	-	DMXL1-DT	ENSG00000249494	lncRNA
chrX	12373167	12375133	-	FRMPD4-AS1	ENSG00000223487	lncRNA
chr9	2041900	2046023	-	SMARCA2-AS1	ENSG00000236199	lncRNA
chr1	30409560	30411638	-	ENSG00000236335	ENSG00000236335	lncRNA
chr2	89172022	89172553	-	IGKV2-23	ENSG00000253625	IG_V_pseudogene
chr8	101492439	101669726	+	GRHL2	ENSG00000083307	protein_coding
chr6	13547704	13548013	+	RN7SKP204	ENSG00000202351	misc_RNA
chr1	86862445	86914424	-	SELENOF	ENSG00000183291	protein_coding
chr8	85214048	85220421	-	RBIS	ENSG00000176731	protein_coding
chr3	35421084	35422150	-	ENSG00000289420	ENSG00000289420	lncRNA
chr12	3610307	3612003	-	ENSG00000280202	ENSG00000280202	TEC
chr5	95620087	95622142	+	GPR150	ENSG00000178015	protein_coding
chr11	59473315	59479361	+	OR4D10	ENSG00000254466	protein_coding
chr2	223957463	223967714	+	MRPL44	ENSG00000135900	protein_coding
chr12	65281657	65286728	+	ENSG00000250280	ENSG00000250280	lncRNA
chrX	155881345	155943769	+	VAMP7	ENSG00000124333	protein_coding
chr10	74005137	74027915	+	ENSG00000225761	ENSG00000225761	lncRNA
chr18	27785821	27795637	+	ENSG00000286426	ENSG00000286426	lncRNA
chr7	27458163	27458849	-	EIF4HP1	ENSG00000233830	processed_pseudogene
chr19	53741313	53741407	+	MIR517C	ENSG00000207838	miRNA
chr2	150982506	151003474	+	ENSG00000228064	ENSG00000228064	lncRNA
chr19	6593329	6594055	+	RPL7P50	ENSG00000268785	processed_pseudogene
chr2	103362082	103403712	+	ENSG00000286290	ENSG00000286290	lncRNA
chr16	12556353	12557694	-	ENSG00000259876	ENSG00000259876	lncRNA
chr10	52033793	52039218	-	ENSG00000289527	ENSG00000289527	lncRNA
chr2	113599036	113601261	-	DDX11L2	ENSG00000236397	unprocessed_pseudogene
chr19	55620741	55624566	-	ZNF784	ENSG00000179922	protein_coding
chr17	78890579	78903217	-	CEP295NL	ENSG00000178404	protein_coding
chr1	944203	959309	-	NOC2L	ENSG00000188976	protein_coding
chrX	119423742	119423905	+	RNU1-67P	ENSG00000207175	snRNA
chr3	141902924	141903030	-	RNU6-509P	ENSG00000200389	snRNA
chr5	78753596	78753873	+	ENSG00000254310	ENSG00000254310	processed_pseudogene
chr12	57529633	57547224	-	DCTN2	ENSG00000175203	protein_coding
chrX	141380823	141381107	+	NDUFB3P5	ENSG00000227779	processed_pseudogene
chr2	47905678	47908176	+	ENSG00000233230	ENSG00000233230	lncRNA
chr15	65117379	65133808	-	PDCD7	ENSG00000090470	protein_coding
chr15	101966075	101976266	+	WASH3P	ENSG00000185596	transcribed_unprocessed_pseudogene
chr2	241188509	241225976	+	ANO7	ENSG00000146205	protein_coding
chr9	114611206	114646422	+	TMEM268	ENSG00000157693	protein_coding
chr4	137751029	137755300	+	ENSG00000287441	ENSG00000287441	lncRNA
chr1	155745829	155750137	+	MSTO2P	ENSG00000203761	unprocessed_pseudogene
chr10	88706249	88752776	+	LIPK	ENSG00000204021	protein_coding
chr21	31038159	31038476	-	KRTAP19-8	ENSG00000206102	protein_coding
chr1	164680085	164680799	+	ENSG00000269887	ENSG00000269887	lncRNA
chr3	47663626	47663934	+	HIGD2AP2	ENSG00000235695	processed_pseudogene
chr3	178419123	178843300	+	ENSG00000275163	ENSG00000275163	protein_coding
chr13	18946902	18952587	-	ENSG00000291256	ENSG00000291256	lncRNA
chr19	53162428	53163563	+	ENSG00000268842	ENSG00000268842	lncRNA
chrX	54445454	54496234	-	FGD1	ENSG00000102302	protein_coding
chr2	241869600	241873823	+	RTP5	ENSG00000188011	protein_coding
chr9	42921443	42921670	-	ENSG00000273900	ENSG00000273900	processed_pseudogene
chrY	12345077	12347495	+	ENSG00000290435	ENSG00000290435	lncRNA
chr10	18659431	18681639	+	ARL5B	ENSG00000165997	protein_coding
chr6	166969626	166999065	-	ENSG00000227598	ENSG00000227598	lncRNA
chr3	37341649	37341766	+	RNA5SP129	ENSG00000222208	rRNA_pseudogene
chr9	131502789	131523806	+	POMT1	ENSG00000130714	protein_coding
chr1	246945547	247008093	-	ZNF695	ENSG00000197472	protein_coding
chr2	75710782	75728123	+	ENSG00000286045	ENSG00000286045	lncRNA
chr8	22165140	22212326	+	BMP1	ENSG00000168487	protein_coding
chr3	157081667	157128595	-	LINC00880	ENSG00000243629	lncRNA
chr1	85249953	85259672	-	C1orf52	ENSG00000162642	protein_coding
chr4	55412636	55412738	+	Y_RNA	ENSG00000239040	misc_RNA
chr3	42719401	42723136	+	ENSG00000287417	ENSG00000287417	lncRNA
chr1	159313720	159314659	-	OR10J3	ENSG00000196266	protein_coding
chrX	112774503	112840831	-	AMOT	ENSG00000126016	protein_coding
chr1	100651947	100652267	+	RPL36AP12	ENSG00000224685	processed_pseudogene
chr9	82451656	82455225	+	ENSG00000232749	ENSG00000232749	lncRNA
chr2	31651381	31651862	+	ENSG00000270422	ENSG00000270422	processed_pseudogene
chr3	138608606	138633376	+	FAIM	ENSG00000158234	protein_coding
chr19	5784832	5791225	-	DUS3L	ENSG00000141994	protein_coding
chr19	31100304	31147981	+	ENSG00000284430	ENSG00000284430	lncRNA
chr21	9902344	9902627	-	RN7SL52P	ENSG00000264002	misc_RNA
chr11	134685044	134702004	-	ENSG00000285640	ENSG00000285640	lncRNA
chr2	110069961	110070042	-	MIR4267	ENSG00000265682	miRNA
chr6	31140727	31140913	+	POLR2LP1	ENSG00000238211	processed_pseudogene
chrX	54932961	54998534	-	PFKFB1	ENSG00000158571	protein_coding
chr16	89912119	89920973	+	MC1R	ENSG00000258839	protein_coding
chr8	123041968	123152153	+	TBC1D31	ENSG00000156787	protein_coding
chr5	77080434	77080571	-	SNORA47	ENSG00000238961	snoRNA
chr7	73440406	73522293	-	BAZ1B	ENSG00000009954	protein_coding
chr3	121655475	121655604	-	RNU4-62P	ENSG00000222057	snRNA
chr13	45702320	45714559	+	CBY2	ENSG00000174015	protein_coding
chr16	29940885	29973050	+	TMEM219	ENSG00000149932	protein_coding
chr10	132508394	132518367	-	ENSG00000226900	ENSG00000226900	lncRNA
chr3	39519506	39521577	+	ENSG00000289279	ENSG00000289279	lncRNA
chr22	31490150	31491022	+	ENSG00000287817	ENSG00000287817	lncRNA
chr11	78068297	78079862	-	NDUFC2	ENSG00000151366	protein_coding
chr1	150996549	151008376	-	MINDY1	ENSG00000143409	protein_coding
chr16	18571276	18592716	+	ABCC6P1	ENSG00000256340	transcribed_unprocessed_pseudogene
chrX	13734743	13777955	+	OFD1	ENSG00000046651	protein_coding
chr9	12972843	12973438	-	PRDX1P1	ENSG00000214121	processed_pseudogene
chr7	27181157	27185232	-	HOXA11	ENSG00000005073	protein_coding
chr20	23564732	23568484	-	CST9L	ENSG00000101435	protein_coding
chr1	166665885	166682196	+	FMO10P	ENSG00000234984	unprocessed_pseudogene
chr19	9204305	9205235	+	OR7E25P	ENSG00000187847	transcribed_unprocessed_pseudogene
chr5	138331935	138349729	+	FAM53C	ENSG00000120709	protein_coding
chr14	104924713	104937761	+	PLD4	ENSG00000166428	protein_coding
chr3	136837338	136839021	-	ENSG00000273486	ENSG00000273486	lncRNA
chr1	161378707	161379358	-	RRM2P2	ENSG00000236484	processed_pseudogene
chr17	16829999	16832753	-	KRT16P2	ENSG00000227300	transcribed_unprocessed_pseudogene
chr7	120787320	120858402	-	TSPAN12	ENSG00000106025	protein_coding
chr14	33597057	33600989	-	ENSG00000287153	ENSG00000287153	lncRNA
chr2	184204372	184382869	+	ENSG00000286980	ENSG00000286980	lncRNA
chr7	76087444	76087547	+	RNU6-863P	ENSG00000251798	snRNA
chr7	4797055	4883716	-	RADIL	ENSG00000157927	protein_coding
chr8	108226200	108227544	+	ENSG00000253754	ENSG00000253754	lncRNA
chr14	45135930	45200890	+	FANCM	ENSG00000187790	protein_coding
chr1	28239509	28241453	-	ENSG00000270605	ENSG00000270605	lncRNA
chr2	106382110	106393815	+	ENSG00000291125	ENSG00000291125	lncRNA
chr7	75996338	76048004	-	STYXL1	ENSG00000127952	protein_coding
chr16	51671236	51671563	-	RN7SKP142	ENSG00000223168	misc_RNA
chr12	7637396	7647086	-	ENSG00000285142	ENSG00000285142	unprocessed_pseudogene
chr9	113161006	113221458	-	FKBP15	ENSG00000119321	protein_coding
chr3	64010550	64024010	-	PSMD6	ENSG00000163636	protein_coding
chr1	87620803	88685204	-	PKN2-AS1	ENSG00000237505	lncRNA
chr9	111602831	111631289	-	LRRC37A5P	ENSG00000290837	lncRNA
chr12	71439798	71586310	+	LGR5	ENSG00000139292	protein_coding
chr5	173225836	173226423	-	RPL7AP33	ENSG00000254200	processed_pseudogene
chr2	97646062	97648383	+	COX5B	ENSG00000135940	protein_coding
chr3	16345126	16346440	+	ENSG00000272529	ENSG00000272529	lncRNA
chr15	43358172	43371043	-	ZSCAN29	ENSG00000140265	protein_coding
chr18	902764	906667	-	ENSG00000265179	ENSG00000265179	lncRNA
chr7	57772584	57773199	-	ENSG00000230271	ENSG00000230271	unprocessed_pseudogene
chr6	132680849	132714055	-	VNN1	ENSG00000112299	protein_coding
chr2	206040432	206040845	+	RPL27P8	ENSG00000237041	processed_pseudogene
chr9	35696948	35732195	-	TLN1	ENSG00000137076	protein_coding
chrY	24276245	24277026	+	LINC00265-2P	ENSG00000224827	processed_pseudogene
chr7	55951877	55956500	+	MRPS17	ENSG00000239789	protein_coding
chrX	107676136	107677035	-	ENSG00000289923	ENSG00000289923	lncRNA
chr10	45055656	45056268	+	DUXAP4	ENSG00000270258	processed_pseudogene
chr12	49951512	49962924	-	AQP5-AS1	ENSG00000257588	lncRNA
chr15	64165525	64356173	-	CSNK1G1	ENSG00000169118	protein_coding
chr9	91426238	91427144	+	ENSG00000233081	ENSG00000233081	lncRNA
chr1	236483165	236484468	+	ENO1P1	ENSG00000244457	transcribed_processed_pseudogene
chr11	128691664	128696023	-	SENCR	ENSG00000254703	lncRNA
chr14	106210936	106211453	-	IGHV3-20	ENSG00000211946	IG_V_gene
chr5	14872332	14872713	+	ANKH-DT	ENSG00000272057	lncRNA
chr4	182548659	182548779	+	RNU2-34P	ENSG00000252343	snRNA
chr4	97120701	97135059	+	ENSG00000253170	ENSG00000253170	lncRNA
chr1	358857	366052	+	ENSG00000236601	ENSG00000236601	lncRNA
chr15	25091786	25091877	+	SNORD116-23	ENSG00000207375	snoRNA
chr17	76849840	76861836	+	LINC00868	ENSG00000267535	lncRNA
chr17	47409322	47423526	-	ENSG00000253347	ENSG00000253347	lncRNA
chr12	57619527	57626151	+	SLC26A10P	ENSG00000135502	transcribed_unitary_pseudogene
chr17	12081899	12081996	+	MIR744	ENSG00000266297	miRNA
chr16	87601835	87698156	+	JPH3	ENSG00000154118	protein_coding
chr9	12134	13783	+	DDX11L5	ENSG00000236875	unprocessed_pseudogene
chr12	57610180	57617245	+	ARHGEF25	ENSG00000240771	protein_coding
chr12	16990670	16992083	+	EEF1A1P16	ENSG00000213235	processed_pseudogene
chr13	57173453	57173632	+	PRR20FP	ENSG00000271140	unprocessed_pseudogene
chr16	28974804	28990775	+	ENSG00000261067	ENSG00000261067	lncRNA
chr11	66638667	66668374	+	RBM4	ENSG00000173933	protein_coding
chr1	62641122	62641667	-	RPL13AP9	ENSG00000213703	processed_pseudogene
chr2	216174896	216176032	-	ENSG00000236478	ENSG00000236478	processed_pseudogene
chr8	79918860	80080775	-	ENSG00000276418	ENSG00000276418	protein_coding
chrX	113347413	113347619	+	ENSG00000235329	ENSG00000235329	processed_pseudogene
chr6	31639028	31652705	-	BAG6	ENSG00000204463	protein_coding
chr15	40453444	40454639	-	ENSG00000259364	ENSG00000259364	lncRNA
chr16	19315164	19316526	+	ENSG00000259871	ENSG00000259871	lncRNA
chr11	108008678	108009318	-	ENSG00000288012	ENSG00000288012	lncRNA
chr22	29554808	29581327	-	NIPSNAP1	ENSG00000184117	protein_coding
chr11	6630504	6658396	+	ENSG00000255410	ENSG00000255410	lncRNA
chr19	57681969	57717301	+	ZNF551	ENSG00000204519	protein_coding
chr3	109018909	109019116	-	U3	ENSG00000221633	snoRNA
chr14	104904342	104905204	+	ENSG00000259067	ENSG00000259067	lncRNA
chr16	67542304	67542572	-	ENSG00000260894	ENSG00000260894	lncRNA
chr1	228632631	228632749	-	RNA5S11	ENSG00000199334	rRNA
chr16	17134504	17138736	+	ENSG00000261448	ENSG00000261448	lncRNA
chr4	151300518	151300613	+	RNU6-1282P	ENSG00000252544	snRNA
chrX	102785667	102786604	+	MTND1P32	ENSG00000232282	processed_pseudogene
chr11	56132666	56133494	-	OR5BN1P	ENSG00000254848	unprocessed_pseudogene
chr2	52297995	52298096	+	Y_RNA	ENSG00000202195	misc_RNA
chr3	125679573	125679781	+	YTHDF3P1	ENSG00000243072	processed_pseudogene
chr21	44697172	44698044	+	KRTAP10-12	ENSG00000189169	protein_coding
chr3	62950430	63125062	+	LINC00698	ENSG00000244342	lncRNA
chr9	20532552	20533339	+	RPL7AP48	ENSG00000237088	processed_pseudogene
chr3	121631399	121660927	-	HCLS1	ENSG00000180353	protein_coding
chr19	14477760	14496149	-	GIPC1	ENSG00000123159	protein_coding
chr7	149053961	149054173	+	COX6B1P1	ENSG00000234565	processed_pseudogene
chr6	3311662	3313650	+	ENSG00000272320	ENSG00000272320	lncRNA
chr11	71865504	71928654	-	XNDC1N	ENSG00000254469	protein_coding
chr20	23602410	23605917	-	CST9	ENSG00000173335	protein_coding
chr3	142656967	142723947	-	ENSG00000287045	ENSG00000287045	lncRNA
chr4	9334658	9336250	+	USP17L26	ENSG00000229579	protein_coding
chr13	19026001	19032626	-	GTF2IP3	ENSG00000187721	unprocessed_pseudogene
chr3	169003022	169038416	+	LINC01997	ENSG00000241383	lncRNA
chr6	35563135	35566952	-	ENSG00000289456	ENSG00000289456	lncRNA
chrX	140032344	140033480	+	HNRNPA3P3	ENSG00000214653	processed_pseudogene
chr7	72768798	72769191	+	ENSG00000270555	ENSG00000270555	processed_pseudogene
chr18	30298910	30298960	+	MIR302F	ENSG00000283218	miRNA
chr14	20029399	20036038	-	OR4K13	ENSG00000176253	protein_coding
chr7	142796560	142796610	+	TRBJ2-2	ENSG00000211765	TR_J_gene
chr19	29525994	29564551	+	VSTM2B	ENSG00000187135	protein_coding
chr12	120904702	120907937	+	ENSG00000286493	ENSG00000286493	lncRNA
chrM	7446	7514	-	MT-TS1	ENSG00000210151	Mt_tRNA
chr21	41882205	41882300	+	ENSG00000251778	ENSG00000251778	snoRNA
chr20	45926518	45935055	-	ENSG00000285796	ENSG00000285796	lncRNA
chr9	96407284	96407797	+	NSA2P7	ENSG00000238251	processed_pseudogene
chr12	45919131	45992120	-	SCAF11	ENSG00000139218	protein_coding
chr11	69653076	69675416	-	LTO1	ENSG00000149716	protein_coding
chr17	17494437	17496395	-	RASD1	ENSG00000108551	protein_coding
chr10	53291072	53311065	-	ENSG00000226296	ENSG00000226296	lncRNA
chr1	241847967	241895148	+	EXO1	ENSG00000174371	protein_coding
chr6	151099529	151099933	+	RPL32P16	ENSG00000219747	processed_pseudogene
chr16	75838576	75860869	-	ENSG00000261313	ENSG00000261313	lncRNA
chr6	32393339	32407181	-	BTNL2	ENSG00000204290	protein_coding
chr12	113185526	113192368	+	RITA1	ENSG00000139405	protein_coding
chr21	34668994	34718227	+	CLIC6	ENSG00000159212	protein_coding
chr1	38950825	38950925	-	Y_RNA	ENSG00000207466	misc_RNA
chrX	155468286	155487046	+	ENSG00000225393	ENSG00000225393	lncRNA
chr4	113900284	113979727	-	ARSJ	ENSG00000180801	protein_coding
chr14	55394940	55395233	-	HMGN1P1	ENSG00000259318	processed_pseudogene
chr3	187383101	187384849	+	ENSG00000280270	ENSG00000280270	TEC
chr15	90634725	90635033	+	HSPE1P3	ENSG00000259746	processed_pseudogene
chr8	60289928	60516815	-	LINC01301	ENSG00000251396	lncRNA
chr20	21397740	21400391	+	ENSG00000225280	ENSG00000225280	lncRNA
chr20	31360790	31360930	+	DEFB117	ENSG00000212717	processed_pseudogene
chr16	18358086	18379331	-	NPIPA9	ENSG00000233024	protein_coding
chr14	22532502	22532561	+	TRAJ11	ENSG00000211878	TR_J_gene
chr16	883780	885090	+	ENSG00000260022	ENSG00000260022	lncRNA
chr3	197580344	197580629	-	RPL36P7	ENSG00000213519	processed_pseudogene
chr10	66837457	66837704	+	ENSG00000277056	ENSG00000277056	unprocessed_pseudogene
chr19	58347718	58355455	+	A1BG-AS1	ENSG00000268895	lncRNA
chr5	179679032	179694768	+	HMGB3P22	ENSG00000225051	transcribed_processed_pseudogene
chr16	14766402	14770075	-	PLA2G10EP	ENSG00000255037	unprocessed_pseudogene
chr7	56322804	56323601	+	ENSG00000203462	ENSG00000203462	unprocessed_pseudogene
chrY	20861337	20862337	+	GAPDHP17	ENSG00000229551	processed_pseudogene
chr11	101890674	101916522	-	ANGPTL5	ENSG00000187151	protein_coding
chr8	22245133	22254601	+	POLR3D	ENSG00000168495	protein_coding
chr7	140453033	140479536	-	MKRN1	ENSG00000133606	protein_coding
chr8	127686343	127738987	-	CASC11	ENSG00000249375	lncRNA
chr3	37176387	37209817	+	ENSG00000290046	ENSG00000290046	lncRNA
chr5	86353803	86368854	+	ENSG00000248363	ENSG00000248363	lncRNA
chr3	31657912	32077580	-	OSBPL10	ENSG00000144645	protein_coding
chr1	241532134	241595642	+	KMO	ENSG00000117009	protein_coding
chr7	35202430	35254100	-	TBX20	ENSG00000164532	protein_coding
chr12	130032928	130045057	-	LINC02418	ENSG00000214039	lncRNA
chr8	141278228	141292862	+	ENSG00000254197	ENSG00000254197	lncRNA
chr21	22209920	22420819	+	ENSG00000226043	ENSG00000226043	lncRNA
chr11	56375624	56376553	+	OR8U1	ENSG00000172199	protein_coding
chr2	54330034	54383742	+	C2orf73	ENSG00000177994	protein_coding
chr18	78976555	78979074	-	LINC01896	ENSG00000263146	lncRNA
chr18	34924371	34928567	-	ENSG00000289867	ENSG00000289867	lncRNA
chr14	65197254	65222443	-	LINC02324	ENSG00000255002	lncRNA
chr15	74816223	74831795	+	ENSG00000261606	ENSG00000261606	lncRNA
chr5	63022919	63023489	-	ENSG00000249579	ENSG00000249579	processed_pseudogene
chr14	105907211	105907241	-	IGHD2-8	ENSG00000211925	IG_D_gene
chr2	12199130	12199201	+	MIR3681	ENSG00000264089	miRNA
chr6	145799409	145887430	+	EPM2A-DT	ENSG00000235652	lncRNA
chr2	178554561	178558966	+	ENSG00000279598	ENSG00000279598	TEC
chr7	75185385	75237696	-	GTF2IP1	ENSG00000290871	lncRNA
chr12	3468950	3469296	+	ENSG00000243507	ENSG00000243507	processed_pseudogene
chr1	51107222	51107331	+	Y_RNA	ENSG00000200262	misc_RNA
chr12	106063345	106138954	-	NUAK1	ENSG00000074590	protein_coding
chrX	36021939	36022045	-	RNU6-641P	ENSG00000206733	snRNA
chr8	130004528	130004601	-	RNU7-181P	ENSG00000253043	snRNA
chr5	65486444	65487048	-	ENSG00000250081	ENSG00000250081	lncRNA
chr3	49099854	49099914	-	MIR6890	ENSG00000284488	miRNA
chr5	40998017	41071342	-	MROH2B	ENSG00000171495	protein_coding
chr11	59560234	59566283	-	LINC02739	ENSG00000255008	lncRNA
chr17	1181893	1185086	+	ABR-AS1	ENSG00000235361	lncRNA
chr14	19733355	19734302	-	OR11K2P	ENSG00000258438	unprocessed_pseudogene
chr9	976655	991732	+	DMRT3	ENSG00000064218	protein_coding
chr13	24331450	24337121	+	LINC00566	ENSG00000261498	lncRNA
chrX	23833353	23907938	-	APOO	ENSG00000184831	protein_coding
chr2	89580558	89581140	-	ENSG00000283196	ENSG00000283196	transcribed_unprocessed_pseudogene
chr1	54285404	54287371	+	ENSG00000225632	ENSG00000225632	lncRNA
chr1	156594301	156601496	-	GPATCH4	ENSG00000160818	protein_coding
